85996, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,9:05:00,20880,20920,20855,20890,33614
2009-11-18,9:10:00,20895,20975,20880,20935,29896
2009-11-18,9:15:00,20940,20955,20910,20915,17530
2009-11-18,9:20:00,20915,20925,20870,20885,18454
2009-11-18,9:25:00,20880,20900,20875,20895,9208
2009-11-18,9:30:00,20895,20895,20845,20865,17044
2009-11-18,9:35:00,20865,20875,20820,20835,16280
2009-11-18,9:40:00,20835,20860,20835,20845,7752
2009-11-18,9:45:00,20845,20875,20840,20860,8664
2009-11-18,9:50:00,20865,20870,20850,20865,7208
2009-11-18,9:55:00,20860,20870,20830,20845,8358
2009-11-18,10:00:00,20840,20870,20840,20845,7548
2009-11-18,10:05:00,20845,20880,20840,20870,8430
2009-11-18,10:10:00,20875,20885,20860,20870,8070
2009-11-18,10:15:00,20875,20915,20870,20905,15344
2009-11-18,10:35:00,20910,20930,20895,20930,13746
2009-11-18,10:40:00,20925,20945,20915,20935,15202
2009-11-18,10:45:00,20930,20935,20915,20920,9416
2009-11-18,10:50:00,20925,20955,20915,20940,13140
2009-11-18,10:55:00,20940,20945,20910,20910,9796
2009-11-18,11:00:00,20910,20925,20905,20925,8032
2009-11-18,11:05:00,20920,20945,20910,20915,7976
2009-11-18,11:10:00,20915,20925,20885,20890,11926
2009-11-18,11:15:00,20890,20900,20885,20900,6644
2009-11-18,11:20:00,20900,20905,20880,20900,6962
2009-11-18,11:25:00,20900,20920,20890,20910,5460
2009-11-18,11:30:00,20910,20915,20895,20905,5500
2009-11-18,13:35:00,20900,20905,20880,20900,6928
2009-11-18,13:40:00,20895,20910,20890,20905,7126
2009-11-18,13:45:00,20905,20920,20900,20905,6574
2009-11-18,13:50:00,20905,20940,20900,20920,14844
2009-11-18,13:55:00,20925,20935,20915,20920,5916
2009-11-18,14:00:00,20915,20925,20910,20925,5182
2009-11-18,14:05:00,20925,21020,20920,21005,38940
2009-11-18,14:10:00,21000,21035,20980,20990,22994
2009-11-18,14:15:00,20990,20995,20990,20995,110
2009-11-18,14:25:00,21000,21030,20990,21025,21460
2009-11-18,14:30:00,21025,21070,21005,21065,27356
2009-11-18,14:35:00,21065,21115,21065,21085,36382
2009-11-18,14:40:00,21090,21180,21075,21090,44000
2009-11-18,14:45:00,21085,21125,21065,21105,26010
2009-11-18,14:50:00,21105,21220,21105,21215,38086
2009-11-18,14:55:00,21215,21290,21205,21280,46258
2009-11-18,15:00:00,21280,21445,21265,21400,58238
