11248, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-19,10:00:00,53635,53682,53508,53569,109886
2009-11-19,11:00:00,53569,53585,53341,53395,62228
2009-11-19,11:30:00,53395,53530,53342,53522,28818
2009-11-19,14:30:00,53500,53808,53400,53763,86960
2009-11-19,15:00:00,53763,53774,53551,53613,49186
2009-11-20,10:00:00,53492,53783,53484,53619,106392
2009-11-20,11:00:00,53619,53670,53552,53635,35676
2009-11-20,11:30:00,53635,53808,53608,53733,35200
2009-11-20,14:30:00,53743,53872,53714,53801,53070
2009-11-20,15:00:00,53796,53896,53732,53747,52038
2009-11-23,10:00:00,54336,54902,54302,54803,136816
2009-11-23,11:00:00,54803,54974,54787,54944,37188
2009-11-23,11:30:00,54940,54969,54852,54890,19078
2009-11-23,14:30:00,54900,55118,54900,55070,55806
2009-11-23,15:00:00,55068,55124,55021,55084,48340
2009-11-24,10:00:00,54582,54763,54409,54756,126216
2009-11-24,11:00:00,54756,54945,54746,54839,46232
2009-11-24,11:30:00,54842,54879,54559,54570,38476
2009-11-24,14:30:00,54565,54723,54129,54136,126738
2009-11-24,15:00:00,54132,54213,53914,54045,91860
2009-11-25,10:00:00,54485,54771,54389,54547,157868
2009-11-25,11:00:00,54547,54637,54468,54484,41478
2009-11-25,11:30:00,54488,54612,54364,54594,37296
2009-11-25,14:30:00,54617,54860,54617,54759,69934
2009-11-25,15:00:00,54760,54855,54746,54839,40294
2009-11-26,10:00:00,55186,55685,55186,55557,148900
2009-11-26,11:00:00,55557,55570,55213,55347,76714
2009-11-26,11:30:00,55347,55470,55311,55407,40084
2009-11-26,14:30:00,55322,55322,54869,55130,154962
2009-11-26,15:00:00,55125,55210,55012,55134,67752
2009-11-27,10:00:00,54336,54493,53930,54347,185726
2009-11-27,11:00:00,54350,54355,54168,54341,52986
2009-11-27,11:30:00,54341,54526,54254,54263,54622
2009-11-27,14:30:00,54220,54220,53358,53557,207524
2009-11-27,15:00:00,53557,53675,53458,53634,79590
2009-11-30,10:00:00,54499,54989,54418,54769,167616
2009-11-30,11:00:00,54767,54879,54751,54818,34854
2009-11-30,11:30:00,54818,54889,54809,54869,22926
2009-11-30,14:30:00,54864,54864,54502,54566,102876
2009-11-30,15:00:00,54566,54785,54566,54701,54674
2009-12-1,10:00:00,55193,55245,54794,54931,121144
2009-12-1,11:00:00,54931,54939,54774,54831,46398
2009-12-1,11:30:00,54826,54888,54809,54864,19982
2009-12-1,14:30:00,54866,55082,54757,55028,81414
2009-12-1,15:00:00,55028,55038,54869,54902,49822
2009-12-2,10:00:00,55538,55614,55294,55379,134042
2009-12-2,11:00:00,55385,55559,55369,55553,51392
2009-12-2,11:30:00,55553,55631,55550,55571,34044
2009-12-2,14:30:00,55571,55776,55571,55585,80966
2009-12-2,15:00:00,55585,55609,55529,55566,46606
2009-12-3,10:00:00,55739,56083,55701,55985,124570
2009-12-3,11:00:00,55985,55999,55845,55947,38674
2009-12-3,11:30:00,55947,56027,55934,56016,17354
2009-12-3,14:30:00,55986,56036,55517,55815,106006
2009-12-3,15:00:00,55815,55881,55760,55881,45402
2009-12-4,10:00:00,55597,55674,55433,55628,83660
2009-12-4,11:00:00,55622,55767,55589,55746,33566
2009-12-4,11:30:00,55746,55817,55629,55635,32682
2009-12-4,14:30:00,55635,55705,55451,55685,74756
2009-12-4,15:00:00,55695,55884,55678,55877,48732
2009-12-7,10:00:00,55700,55892,55660,55804,98096
2009-12-7,11:00:00,55798,55858,55738,55777,42978
2009-12-7,11:30:00,55777,55804,55586,55645,36560
2009-12-7,14:30:00,55645,55780,55612,55672,58130
2009-12-7,15:00:00,55672,55771,55657,55764,38114
2009-12-8,10:00:00,55890,55996,55771,55804,81612
2009-12-8,11:00:00,55810,55817,55661,55731,43360
