19096, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-19,9:30:00,53635,53682,53508,53594,82362
2009-11-19,10:00:00,53599,53615,53529,53569,27524
2009-11-19,10:30:00,53569,53585,53543,53548,12174
2009-11-19,11:00:00,53553,53553,53341,53395,50054
2009-11-19,11:30:00,53395,53530,53342,53522,28818
2009-11-19,14:00:00,53500,53666,53400,53666,41888
2009-11-19,14:30:00,53666,53808,53655,53763,45072
2009-11-19,15:00:00,53763,53774,53551,53613,49186
2009-11-20,9:30:00,53492,53783,53484,53547,77600
2009-11-20,10:00:00,53547,53629,53529,53619,28792
2009-11-20,10:30:00,53619,53670,53590,53617,12266
2009-11-20,11:00:00,53617,53668,53552,53635,23410
2009-11-20,11:30:00,53635,53808,53608,53733,35200
2009-11-20,14:00:00,53743,53872,53714,53848,33496
2009-11-20,14:30:00,53848,53867,53771,53801,19574
2009-11-20,15:00:00,53796,53896,53732,53747,52038
2009-11-23,9:30:00,54336,54814,54302,54799,91598
2009-11-23,10:00:00,54804,54902,54731,54803,45218
2009-11-23,10:30:00,54803,54903,54787,54892,12554
2009-11-23,11:00:00,54906,54974,54846,54944,24634
2009-11-23,11:30:00,54940,54969,54852,54890,19078
2009-11-23,14:00:00,54900,55027,54900,55002,31726
2009-11-23,14:30:00,55002,55118,54990,55070,24080
2009-11-23,15:00:00,55068,55124,55021,55084,48340
2009-11-24,9:30:00,54582,54663,54409,54634,95592
2009-11-24,10:00:00,54634,54763,54600,54756,30624
2009-11-24,10:30:00,54756,54907,54746,54827,20376
2009-11-24,11:00:00,54829,54945,54819,54839,25856
2009-11-24,11:30:00,54842,54879,54559,54570,38476
2009-11-24,14:00:00,54565,54723,54284,54394,74314
2009-11-24,14:30:00,54389,54487,54129,54136,52424
2009-11-24,15:00:00,54132,54213,53914,54045,91860
2009-11-25,9:30:00,54485,54771,54459,54694,94446
2009-11-25,10:00:00,54694,54749,54389,54547,63422
2009-11-25,10:30:00,54547,54605,54533,54547,14724
2009-11-25,11:00:00,54564,54637,54468,54484,26754
2009-11-25,11:30:00,54488,54612,54364,54594,37296
2009-11-25,14:00:00,54617,54749,54617,54655,37544
2009-11-25,14:30:00,54659,54860,54652,54759,32390
2009-11-25,15:00:00,54760,54855,54746,54839,40294
2009-11-26,9:30:00,55186,55631,55186,55594,105962
2009-11-26,10:00:00,55594,55685,55550,55557,42938
2009-11-26,10:30:00,55557,55570,55377,55516,24708
2009-11-26,11:00:00,55505,55538,55213,55347,52006
2009-11-26,11:30:00,55347,55470,55311,55407,40084
2009-11-26,14:00:00,55322,55322,54869,55016,110134
2009-11-26,14:30:00,55016,55153,54989,55130,44828
2009-11-26,15:00:00,55125,55210,55012,55134,67752
2009-11-27,9:30:00,54336,54493,53930,54199,135842
2009-11-27,10:00:00,54194,54394,54194,54347,49884
2009-11-27,10:30:00,54350,54355,54246,54272,16878
2009-11-27,11:00:00,54272,54352,54168,54341,36108
2009-11-27,11:30:00,54341,54526,54254,54263,54622
2009-11-27,14:00:00,54220,54220,53759,53801,113292
2009-11-27,14:30:00,53801,53804,53358,53557,94232
2009-11-27,15:00:00,53557,53675,53458,53634,79590
2009-11-30,9:30:00,54499,54989,54418,54896,122750
2009-11-30,10:00:00,54891,54942,54726,54769,44866
2009-11-30,10:30:00,54767,54852,54751,54846,12148
2009-11-30,11:00:00,54863,54879,54796,54818,22706
2009-11-30,11:30:00,54818,54889,54809,54869,22926
2009-11-30,14:00:00,54864,54864,54518,54552,67040
