18872, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,9:30:00,53570,53720,53420,53500,81700
2009-11-18,10:00:00,53500,53530,53360,53380,32994
2009-11-18,10:30:00,53370,53460,53350,53450,8258
2009-11-18,11:00:00,53500,53530,53440,53480,18860
2009-11-18,11:30:00,53480,53510,53420,53460,14228
2009-11-18,14:00:00,53500,53670,53450,53630,33716
2009-11-18,14:30:00,53620,53750,53580,53670,26256
2009-11-18,15:00:00,53680,53950,53640,53940,66966
2009-11-19,9:30:00,53650,53670,53470,53540,62288
2009-11-19,10:00:00,53550,53580,53480,53530,18806
2009-11-19,10:30:00,53530,53560,53500,53520,6984
2009-11-19,11:00:00,53530,53530,53300,53360,36552
2009-11-19,11:30:00,53360,53490,53300,53490,20900
2009-11-19,14:00:00,53450,53640,53330,53640,31942
2009-11-19,14:30:00,53640,53760,53600,53730,31228
2009-11-19,15:00:00,53710,53730,53480,53520,37782
2009-11-20,9:30:00,53500,53730,53410,53480,50998
2009-11-20,10:00:00,53480,53570,53460,53550,20134
2009-11-20,10:30:00,53550,53620,53520,53550,8974
2009-11-20,11:00:00,53550,53620,53480,53580,16040
2009-11-20,11:30:00,53580,53770,53570,53670,26220
2009-11-20,14:00:00,53700,53840,53660,53810,22538
2009-11-20,14:30:00,53810,53830,53710,53760,13854
2009-11-20,15:00:00,53760,53880,53680,53680,37896
2009-11-23,9:30:00,54230,54770,54230,54730,62348
2009-11-23,10:00:00,54740,54850,54650,54730,27880
2009-11-23,10:30:00,54720,54830,54700,54810,8020
2009-11-23,11:00:00,54840,54920,54770,54880,15546
2009-11-23,11:30:00,54870,54910,54770,54830,12816
2009-11-23,14:00:00,54870,54950,54820,54930,16618
2009-11-23,14:30:00,54930,55050,54920,54990,16362
2009-11-23,15:00:00,54990,55060,54950,55010,28078
2009-11-24,9:30:00,54510,54610,54350,54560,59124
2009-11-24,10:00:00,54550,54690,54520,54680,18490
2009-11-24,10:30:00,54680,54840,54660,54750,12116
2009-11-24,11:00:00,54760,54880,54720,54750,14204
2009-11-24,11:30:00,54750,54800,54450,54470,22090
2009-11-24,14:00:00,54590,54630,54180,54280,41128
2009-11-24,14:30:00,54290,54410,54030,54030,29534
2009-11-24,15:00:00,54040,54130,53810,53880,52672
2009-11-25,9:30:00,54360,54610,54320,54530,50990
2009-11-25,10:00:00,54540,54590,54250,54400,31802
2009-11-25,10:30:00,54400,54460,54370,54400,7790
2009-11-25,11:00:00,54440,54500,54300,54330,12808
2009-11-25,11:30:00,54340,54460,54210,54450,17838
2009-11-25,14:00:00,54550,54600,54480,54500,16724
2009-11-25,14:30:00,54510,54720,54500,54630,13744
2009-11-25,15:00:00,54610,54690,54600,54680,15352
2009-11-26,9:30:00,55410,55850,55410,55800,60630
2009-11-26,10:00:00,55800,55900,55750,55750,26144
2009-11-26,10:30:00,55750,55770,55550,55740,15568
2009-11-26,11:00:00,55730,55750,55370,55540,34950
2009-11-26,11:30:00,55550,55700,55510,55620,26674
2009-11-26,14:00:00,55340,55380,55050,55200,58902
2009-11-26,14:30:00,55210,55360,55170,55320,29566
2009-11-26,15:00:00,55330,55420,55180,55330,46216
2009-11-27,9:30:00,54400,54650,54000,54330,92726
2009-11-27,10:00:00,54320,54550,54320,54490,37018
2009-11-27,10:30:00,54480,54500,54360,54380,12614
2009-11-27,11:00:00,54400,54490,54270,54470,27086
2009-11-27,11:30:00,54470,54680,54350,54370,39840
2009-11-27,14:00:00,54160,54190,53780,53860,76512
2009-11-27,14:30:00,53870,53880,53390,53600,70334
2009-11-27,15:00:00,53600,53760,53480,53700,59902
2009-11-30,9:30:00,54620,55120,54530,55010,95168
2009-11-30,10:00:00,55020,55080,54830,54870,33520
2009-11-30,10:30:00,54870,54980,54850,54980,9868
2009-11-30,11:00:00,54970,55010,54900,54930,17314
2009-11-30,11:30:00,54930,55030,54910,55000,18678
2009-11-30,14:00:00,54790,54870,54600,54630,46498
2009-11-30,14:30:00,54630,54760,54580,54680,26862
2009-11-30,15:00:00,54680,54930,54680,54830,43864
2009-12-1,9:30:00,55350,55430,54940,54950,68274
2009-12-1,10:00:00,54950,55080,54880,55030,33982
2009-12-1,10:30:00,55030,55050,54830,54950,18286
2009-12-1,11:00:00,54960,55020,54880,54910,20626
2009-12-1,11:30:00,54910,54980,54880,54940,17874
2009-12-1,14:00:00,54840,55200,54820,55160,48738
2009-12-1,14:30:00,55160,55190,55070,55130,18556
2009-12-1,15:00:00,55130,55140,54940,55020,43194
2009-12-2,9:30:00,55650,55730,55370,55510,84114
2009-12-2,10:00:00,55520,55600,55430,55460,30702
2009-12-2,10:30:00,55460,55590,55450,55530,15714
2009-12-2,11:00:00,55560,55650,55550,55640,29058
2009-12-2,11:30:00,55640,55730,55630,55650,28654
2009-12-2,14:00:00,55750,55850,55690,55750,36466
2009-12-2,14:30:00,55750,55800,55630,55650,21876
2009-12-2,15:00:00,55650,55680,55580,55620,39144
2009-12-3,9:30:00,55880,56170,55750,56080,85446
2009-12-3,10:00:00,56090,56120,56000,56060,25504
2009-12-3,10:30:00,56050,56060,55890,55980,17534
2009-12-3,11:00:00,55980,56070,55960,56000,16230
