7838, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2013-10-17,9:30:00,21190,21190,21020,21025,155772
2013-10-17,10:00:00,21030,21060,20860,20885,123620
2013-10-17,10:30:00,20880,20930,20870,20885,26206
2013-10-17,11:00:00,20885,20905,20685,20745,125222
2013-10-17,11:30:00,20750,20805,20715,20740,61958
2013-10-17,14:00:00,20690,20730,20650,20680,82704
2013-10-17,14:30:00,20675,20720,20620,20635,70514
2013-10-17,15:00:00,20635,20660,20425,20430,171152
2013-10-18,9:30:00,20485,20545,20430,20535,110018
2013-10-18,10:00:00,20535,20575,20465,20500,61162
2013-10-18,10:30:00,20500,20570,20480,20520,31170
2013-10-18,11:00:00,20525,20575,20370,20555,136434
2013-10-18,11:30:00,20555,20560,20470,20520,55638
2013-10-18,14:00:00,20525,20615,20515,20570,73520
2013-10-18,14:30:00,20570,20585,20460,20535,71924
2013-10-18,15:00:00,20535,20540,20460,20480,67552
2013-10-21,9:30:00,20450,20530,20315,20515,137116
2013-10-21,10:00:00,20510,20635,20470,20495,95572
2013-10-21,10:30:00,20495,20550,20490,20510,23282
2013-10-21,11:00:00,20510,20555,20460,20545,48486
2013-10-21,11:30:00,20550,20570,20395,20505,78804
2013-10-21,14:00:00,20505,20615,20495,20615,81518
2013-10-21,14:30:00,20615,20705,20580,20675,107314
2013-10-21,15:00:00,20675,20730,20660,20690,84264
2013-10-22,9:30:00,20650,20765,20595,20620,136518
2013-10-22,10:00:00,20615,20640,20580,20615,51088
2013-10-22,10:30:00,20615,20640,20600,20615,17578
2013-10-22,11:00:00,20610,20710,20535,20650,83310
2013-10-22,11:30:00,20650,20700,20630,20640,61986
2013-10-22,14:00:00,20620,20665,20545,20545,71410
2013-10-22,14:30:00,20540,20605,20475,20550,92220
2013-10-22,15:00:00,20550,20570,20480,20490,83622
2013-10-23,9:30:00,20540,20620,20515,20585,104560
2013-10-23,10:00:00,20585,20595,20520,20590,63950
2013-10-23,10:30:00,20590,20605,20450,20490,49804
2013-10-23,11:00:00,20490,20505,20250,20265,160694
2013-10-23,11:30:00,20270,20280,20140,20190,129360
2013-10-23,14:00:00,20150,20270,20145,20235,80620
2013-10-23,14:30:00,20235,20235,20165,20195,53116
2013-10-23,15:00:00,20195,20210,20125,20160,109084
2013-10-24,9:30:00,20155,20200,19875,19975,203948
2013-10-24,10:00:00,19975,20200,19950,20140,148190
2013-10-24,10:30:00,20145,20170,20115,20125,26398
2013-10-24,11:00:00,20120,20350,20115,20305,148964
2013-10-24,11:30:00,20300,20315,20260,20270,72526
2013-10-24,14:00:00,20255,20280,20195,20240,88458
2013-10-24,14:30:00,20240,20295,20230,20250,58116
2013-10-24,15:00:00,20250,20275,20210,20235,73198
2013-10-25,9:30:00,20280,20305,20195,20245,105956
2013-10-25,10:00:00,20245,20275,20125,20130,87094
2013-10-25,10:30:00,20130,20175,20080,20150,53816
2013-10-25,11:00:00,20160,20200,20115,20140,52272
2013-10-25,11:30:00,20145,20250,20135,20235,80448
2013-10-25,14:00:00,20230,20235,19835,19905,205024
2013-10-25,14:30:00,19905,19905,19665,19700,143976
2013-10-25,15:00:00,19700,19710,19500,19515,180874
2013-10-28,9:30:00,19625,19650,19480,19555,136604
2013-10-28,10:00:00,19555,19605,19420,19465,103562
2013-10-28,10:30:00,19465,19530,19460,19470,28906
2013-10-28,11:00:00,19475,19525,19350,19415,96924
2013-10-28,11:30:00,19420,19555,19390,19510,90430
2013-10-28,14:00:00,19520,19595,19495,19555,72062
2013-10-28,14:30:00,19555,19555,19480,19520,49874
2013-10-28,15:00:00,19525,19550,19450,19465,72304
2013-10-29,9:30:00,19480,19550,19445,19480,98302
2013-10-29,10:00:00,19480,19600,19460,19535,91300
2013-10-29,10:30:00,19535,19550,19475,19510,39978
2013-10-29,11:00:00,19525,19700,19430,19445,170988
2013-10-29,11:30:00,19440,19545,19375,19515,112840
2013-10-29,14:00:00,19505,19505,19430,19465,62580
2013-10-29,14:30:00,19465,19630,19435,19610,92140
2013-10-29,15:00:00,19610,19685,19555,19600,111622
2013-10-30,9:30:00,19750,19780,19575,19600,134216
2013-10-30,10:00:00,19605,19740,19585,19695,105794
2013-10-30,10:30:00,19695,19715,19670,19705,26150
2013-10-30,11:00:00,19705,19710,19630,19650,62566
2013-10-30,11:30:00,19650,19810,19650,19780,124880
2013-10-30,14:00:00,19780,19920,19745,19810,149700
2013-10-30,14:30:00,19810,19885,19805,19830,62010
2013-10-30,15:00:00,19830,19890,19785,19795,84282
2013-10-31,9:30:00,19655,19680,19530,19565,159016
2013-10-31,10:00:00,19565,19565,19425,19430,116116
2013-10-31,10:30:00,19425,19535,19390,19500,52766
2013-10-31,11:00:00,19485,19555,19470,19475,70834
2013-10-31,11:30:00,19470,19505,19440,19480,64434
2013-10-31,14:00:00,19480,19610,19475,19515,131436
2013-10-31,14:30:00,19510,19540,19475,19510,59684
2013-10-31,15:00:00,19510,19575,19465,19515,92676
2013-11-1,9:30:00,19425,19520,19320,19485,167188
2013-11-1,10:00:00,19490,19545,19445,19545,73734
