4675, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2013-10-17,10:00:00,21190,21190,20860,20885,279392
2013-10-17,11:00:00,20880,20930,20685,20745,151428
2013-10-17,11:30:00,20750,20805,20715,20740,61958
2013-10-17,14:30:00,20690,20730,20620,20635,153218
2013-10-17,15:00:00,20635,20660,20425,20430,171152
2013-10-18,10:00:00,20485,20575,20430,20500,171180
2013-10-18,11:00:00,20500,20575,20370,20555,167604
2013-10-18,11:30:00,20555,20560,20470,20520,55638
2013-10-18,14:30:00,20525,20615,20460,20535,145444
2013-10-18,15:00:00,20535,20540,20460,20480,67552
2013-10-21,10:00:00,20450,20635,20315,20495,232688
2013-10-21,11:00:00,20495,20555,20460,20545,71768
2013-10-21,11:30:00,20550,20570,20395,20505,78804
2013-10-21,14:30:00,20505,20705,20495,20675,188832
2013-10-21,15:00:00,20675,20730,20660,20690,84264
2013-10-22,10:00:00,20650,20765,20580,20615,187606
2013-10-22,11:00:00,20615,20710,20535,20650,100888
2013-10-22,11:30:00,20650,20700,20630,20640,61986
2013-10-22,14:30:00,20620,20665,20475,20550,163630
2013-10-22,15:00:00,20550,20570,20480,20490,83622
2013-10-23,10:00:00,20540,20620,20515,20590,168510
2013-10-23,11:00:00,20590,20605,20250,20265,210498
2013-10-23,11:30:00,20270,20280,20140,20190,129360
2013-10-23,14:30:00,20150,20270,20145,20195,133736
2013-10-23,15:00:00,20195,20210,20125,20160,109084
2013-10-24,10:00:00,20155,20200,19875,20140,352138
2013-10-24,11:00:00,20145,20350,20115,20305,175362
2013-10-24,11:30:00,20300,20315,20260,20270,72526
2013-10-24,14:30:00,20255,20295,20195,20250,146574
2013-10-24,15:00:00,20250,20275,20210,20235,73198
2013-10-25,10:00:00,20280,20305,20125,20130,193050
2013-10-25,11:00:00,20130,20200,20080,20140,106088
2013-10-25,11:30:00,20145,20250,20135,20235,80448
2013-10-25,14:30:00,20230,20235,19665,19700,349000
2013-10-25,15:00:00,19700,19710,19500,19515,180874
2013-10-28,10:00:00,19625,19650,19420,19465,240166
2013-10-28,11:00:00,19465,19530,19350,19415,125830
2013-10-28,11:30:00,19420,19555,19390,19510,90430
2013-10-28,14:30:00,19520,19595,19480,19520,121936
2013-10-28,15:00:00,19525,19550,19450,19465,72304
2013-10-29,10:00:00,19480,19600,19445,19535,189602
2013-10-29,11:00:00,19535,19700,19430,19445,210966
2013-10-29,11:30:00,19440,19545,19375,19515,112840
2013-10-29,14:30:00,19505,19630,19430,19610,154720
2013-10-29,15:00:00,19610,19685,19555,19600,111622
2013-10-30,10:00:00,19750,19780,19575,19695,240010
2013-10-30,11:00:00,19695,19715,19630,19650,88716
2013-10-30,11:30:00,19650,19810,19650,19780,124880
2013-10-30,14:30:00,19780,19920,19745,19830,211710
2013-10-30,15:00:00,19830,19890,19785,19795,84282
2013-10-31,10:00:00,19655,19680,19425,19430,275132
2013-10-31,11:00:00,19425,19555,19390,19475,123600
2013-10-31,11:30:00,19470,19505,19440,19480,64434
2013-10-31,14:30:00,19480,19610,19475,19510,191120
2013-10-31,15:00:00,19510,19575,19465,19515,92676
2013-11-1,10:00:00,19425,19545,19320,19545,240922
2013-11-1,11:00:00,19550,19625,19495,19505,136132
2013-11-1,11:30:00,19505,19525,19445,19490,77820
2013-11-1,14:30:00,19475,19660,19460,19630,170368
2013-11-1,15:00:00,19630,19680,19590,19650,93972
2013-11-4,10:00:00,19545,19660,19505,19550,191108
2013-11-4,11:00:00,19550,19555,19445,19460,89152
2013-11-4,11:30:00,19455,19470,19390,19420,93884
2013-11-4,14:30:00,19430,19530,19425,19510,126982
2013-11-4,15:00:00,19510,19540,19470,19495,71654
2013-11-5,10:00:00,19480,19550,19170,19245,289748
2013-11-5,11:00:00,19245,19300,19220,19290,81030
2013-11-5,11:30:00,19295,19300,19210,19240,56690
2013-11-5,14:30:00,19240,19425,19215,19400,183436
2013-11-5,15:00:00,19400,19415,19275,19285,82504
2013-11-6,10:00:00,19305,19325,19205,19290,177098
2013-11-6,11:00:00,19290,19355,19255,19285,119600
2013-11-6,11:30:00,19285,19305,19230,19295,60224
2013-11-6,14:30:00,19310,19370,19185,19215,155116
2013-11-6,15:00:00,19215,19250,19185,19230,88712
2013-11-7,10:00:00,19255,19315,19140,19250,211486
2013-11-7,11:00:00,19250,19335,19245,19295,79792
2013-11-7,11:30:00,19295,19315,19225,19285,53902
2013-11-7,14:30:00,19280,19465,19265,19435,198716
2013-11-7,15:00:00,19435,19460,19395,19410,74678
2013-11-8,10:00:00,19360,19495,19345,19390,179604
2013-11-8,11:00:00,19390,19450,19365,19415,82446
2013-11-8,11:30:00,19410,19430,19325,19375,70984
2013-11-8,14:30:00,19385,19475,19270,19275,172184
2013-11-8,15:00:00,19270,19315,19250,19275,88488
2013-11-11,10:00:00,19420,19455,19180,19215,238792
2013-11-11,11:00:00,19215,19260,19210,19225,59146
2013-11-11,11:30:00,19225,19335,19170,19245,106758
2013-11-11,14:30:00,19255,19300,19230,19260,84956
2013-11-11,15:00:00,19260,19275,19225,19230,76020
2013-11-12,10:00:00,19240,19295,19075,19100,215210
2013-11-12,11:00:00,19100,19100,18995,19030,122498
2013-11-12,11:30:00,19030,19080,19000,19070,43838
2013-11-12,14:30:00,19095,19175,19065,19070,106966
2013-11-12,15:00:00,19070,19130,19065,19085,75152
2013-11-13,10:00:00,19005,19115,18940,19090,168648
2013-11-13,11:00:00,19090,19105,19030,19085,66618
2013-11-13,11:30:00,19085,19200,18995,19055,144338
2013-11-13,14:30:00,19050,19080,19000,19020,91450
2013-11-13,15:00:00,19020,19090,19020,19060,73410
