11121, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,10:00:00,53570,53720,53360,53380,114694
2009-11-18,11:00:00,53370,53530,53350,53480,27118
2009-11-18,11:30:00,53480,53510,53420,53460,14228
2009-11-18,14:30:00,53500,53750,53450,53670,59972
2009-11-18,15:00:00,53680,53950,53640,53940,66966
2009-11-19,10:00:00,53650,53670,53470,53530,81094
2009-11-19,11:00:00,53530,53560,53300,53360,43536
2009-11-19,11:30:00,53360,53490,53300,53490,20900
2009-11-19,14:30:00,53450,53760,53330,53730,63170
2009-11-19,15:00:00,53710,53730,53480,53520,37782
2009-11-20,10:00:00,53500,53730,53410,53550,71132
2009-11-20,11:00:00,53550,53620,53480,53580,25014
2009-11-20,11:30:00,53580,53770,53570,53670,26220
2009-11-20,14:30:00,53700,53840,53660,53760,36392
2009-11-20,15:00:00,53760,53880,53680,53680,37896
2009-11-23,10:00:00,54230,54850,54230,54730,90228
2009-11-23,11:00:00,54720,54920,54700,54880,23566
2009-11-23,11:30:00,54870,54910,54770,54830,12816
2009-11-23,14:30:00,54870,55050,54820,54990,32980
2009-11-23,15:00:00,54990,55060,54950,55010,28078
2009-11-24,10:00:00,54510,54690,54350,54680,77614
2009-11-24,11:00:00,54680,54880,54660,54750,26320
2009-11-24,11:30:00,54750,54800,54450,54470,22090
2009-11-24,14:30:00,54590,54630,54030,54030,70662
2009-11-24,15:00:00,54040,54130,53810,53880,52672
2009-11-25,10:00:00,54360,54610,54250,54400,82792
2009-11-25,11:00:00,54400,54500,54300,54330,20598
2009-11-25,11:30:00,54340,54460,54210,54450,17838
2009-11-25,14:30:00,54550,54720,54480,54630,30468
2009-11-25,15:00:00,54610,54690,54600,54680,15352
2009-11-26,10:00:00,55410,55900,55410,55750,86774
2009-11-26,11:00:00,55750,55770,55370,55540,50518
2009-11-26,11:30:00,55550,55700,55510,55620,26674
2009-11-26,14:30:00,55340,55380,55050,55320,88468
2009-11-26,15:00:00,55330,55420,55180,55330,46216
2009-11-27,10:00:00,54400,54650,54000,54490,129744
2009-11-27,11:00:00,54480,54500,54270,54470,39700
2009-11-27,11:30:00,54470,54680,54350,54370,39840
2009-11-27,14:30:00,54160,54190,53390,53600,146846
2009-11-27,15:00:00,53600,53760,53480,53700,59902
2009-11-30,10:00:00,54620,55120,54530,54870,128688
2009-11-30,11:00:00,54870,55010,54850,54930,27182
2009-11-30,11:30:00,54930,55030,54910,55000,18678
2009-11-30,14:30:00,54790,54870,54580,54680,73360
2009-11-30,15:00:00,54680,54930,54680,54830,43864
2009-12-1,10:00:00,55350,55430,54880,55030,102256
2009-12-1,11:00:00,55030,55050,54830,54910,38912
2009-12-1,11:30:00,54910,54980,54880,54940,17874
2009-12-1,14:30:00,54840,55200,54820,55130,67294
2009-12-1,15:00:00,55130,55140,54940,55020,43194
2009-12-2,10:00:00,55650,55730,55370,55460,114816
2009-12-2,11:00:00,55460,55650,55450,55640,44772
2009-12-2,11:30:00,55640,55730,55630,55650,28654
2009-12-2,14:30:00,55750,55850,55630,55650,58342
2009-12-2,15:00:00,55650,55680,55580,55620,39144
2009-12-3,10:00:00,55880,56170,55750,56060,110950
2009-12-3,11:00:00,56050,56070,55890,56000,33764
2009-12-3,11:30:00,56000,56100,55980,56080,14796
2009-12-3,14:30:00,56020,56110,55540,55860,90990
2009-12-3,15:00:00,55860,55930,55780,55920,39514
2009-12-4,10:00:00,55630,55720,55460,55660,75948
2009-12-4,11:00:00,55650,55810,55610,55780,30154
2009-12-4,11:30:00,55780,55860,55650,55650,28684
2009-12-4,14:30:00,55560,55750,55460,55720,56472
2009-12-4,15:00:00,55740,55940,55710,55930,43870
2009-12-8,10:00:00,55910,56060,55780,55830,73800
2009-12-8,11:00:00,55840,55850,55690,55770,37868
2009-12-8,11:30:00,55770,55890,55760,55820,17304
2009-12-8,14:30:00,55780,55940,55760,55870,39996
2009-12-8,15:00:00,55870,55900,55830,55840,20540
2009-12-9,10:00:00,55000,55100,54850,55010,95952
2009-12-9,11:00:00,55010,55180,55000,55150,26618
2009-12-9,11:30:00,55150,55160,55030,55050,16174
2009-12-9,14:30:00,55090,55110,54680,54710,59346
2009-12-9,15:00:00,54700,54700,54500,54620,53400
2009-12-10,10:00:00,54620,54750,54450,54570,70132
2009-12-10,11:00:00,54570,54610,53980,54090,93706
2009-12-10,11:30:00,54100,54100,53660,53700,53408
2009-12-10,14:30:00,53780,53780,53480,53620,74486
2009-12-10,15:00:00,53620,54190,53610,54130,63314
2009-12-11,10:00:00,54100,54280,53840,54140,91622
2009-12-11,11:00:00,54140,54220,53970,54030,30932
2009-12-11,11:30:00,54040,54100,53980,54060,14710
2009-12-11,14:30:00,54140,54390,54060,54320,48058
2009-12-11,15:00:00,54320,54350,54230,54270,30986
2009-12-14,10:00:00,54350,54620,54010,54250,116100
2009-12-14,11:00:00,54250,54300,54140,54270,34464
2009-12-14,11:30:00,54270,54350,54210,54280,21710
2009-12-14,14:30:00,54450,55070,54420,54970,92922
2009-12-14,15:00:00,54980,55130,54920,54990,48132
2009-12-15,10:00:00,55010,55080,54900,54950,54798
2009-12-15,11:00:00,54960,55240,54940,55160,51964
2009-12-15,11:30:00,55170,55340,55160,55250,32470
2009-12-15,14:30:00,55220,55270,55140,55220,40108
2009-12-15,15:00:00,55230,55230,54900,55110,50578
2009-12-16,10:00:00,55020,55430,54950,55360,72034
2009-12-16,11:00:00,55350,55420,55280,55300,20262
2009-12-16,11:30:00,55290,55310,55180,55250,24530
2009-12-16,14:30:00,55240,55380,55220,55240,35484
2009-12-16,15:00:00,55240,55450,55220,55300,37956
2009-12-17,10:00:00,55900,56180,55800,55860,90758
2009-12-17,11:00:00,55850,55970,55740,55740,29122
2009-12-17,11:30:00,55750,55770,55470,55680,39700
2009-12-17,14:30:00,55690,55800,55580,55690,47882
2009-12-17,15:00:00,55690,55740,55630,55690,28130
2009-12-18,10:00:00,54850,55380,54850,55340,72388
2009-12-18,11:00:00,55350,55470,55280,55300,38014
2009-12-18,11:30:00,55310,55370,55200,55350,21496
2009-12-18,14:30:00,55400,55540,55320,55380,32918
2009-12-18,15:00:00,55380,55510,55360,55490,28794
2009-12-21,10:00:00,55600,55720,55390,55490,59004
2009-12-21,11:00:00,55480,55520,55340,55470,24910
2009-12-21,11:30:00,55470,55630,55370,55620,20056
2009-12-21,14:30:00,55520,55840,55510,55750,54538
2009-12-21,15:00:00,55760,55820,55680,55710,29838
2009-12-22,10:00:00,55500,55770,55460,55690,44658
2009-12-22,11:00:00,55690,55750,55630,55710,12532
2009-12-22,11:30:00,55710,55720,55620,55640,9694
2009-12-22,14:30:00,55670,55670,55260,55520,64286
2009-12-22,15:00:00,55520,55540,55290,55330,32014
2009-12-23,10:00:00,55540,55730,55490,55650,48922
2009-12-23,11:00:00,55650,55690,55130,55340,57804
2009-12-23,11:30:00,55340,55360,55250,55320,17160
2009-12-23,14:30:00,55300,55590,55250,55490,35796
2009-12-23,15:00:00,55490,55640,55440,55600,24172
2009-12-24,10:00:00,56200,56420,55960,56400,92856
2009-12-24,11:00:00,56390,56630,56350,56490,54504
2009-12-24,11:30:00,56490,56650,56440,56620,17834
2009-12-24,14:30:00,56630,57040,56630,57000,43836
2009-12-24,15:00:00,57010,57140,56900,57100,33054
2009-12-25,10:00:00,57570,57760,57410,57610,68762
2009-12-25,11:00:00,57620,57830,57570,57780,23816
2009-12-25,11:30:00,57770,57820,57650,57700,20982
2009-12-25,14:30:00,57740,58040,57730,57980,39438
2009-12-25,15:00:00,57980,58020,57800,57870,34470
2009-12-28,10:00:00,57920,58770,57760,58730,91436
2009-12-28,11:00:00,58730,59180,58730,58770,60254
2009-12-28,11:30:00,58770,58850,58520,58650,28504
2009-12-28,14:30:00,58630,58780,58270,58500,72502
2009-12-28,15:00:00,58510,58650,58480,58540,36240
2009-12-29,10:00:00,58450,58670,58250,58510,81208
2009-12-29,11:00:00,58510,58580,58330,58330,25418
2009-12-29,11:30:00,58330,58420,58140,58160,21576
2009-12-29,14:30:00,58340,58510,58300,58420,36336
2009-12-29,15:00:00,58420,58600,58340,58580,31532
2009-12-30,10:00:00,58420,58550,58280,58420,63880
2009-12-30,11:00:00,58430,58610,58410,58550,30470
2009-12-30,11:30:00,58550,58950,58520,58880,38220
2009-12-30,14:30:00,58820,59180,58800,59140,71940
2009-12-30,15:00:00,59130,59250,59080,59150,37662
2009-12-31,10:00:00,59340,59940,59280,59750,89032
2009-12-31,11:00:00,59750,59760,59430,59600,59970
2009-12-31,11:30:00,59600,59650,59560,59610,17812
2009-12-31,14:30:00,59640,59810,59580,59740,39740
2009-12-31,15:00:00,59740,60010,59730,60000,49132
2010-1-4,10:00:00,60150,60630,59820,60400,120370
2010-1-4,11:00:00,60400,60560,60370,60460,30754
2010-1-4,11:30:00,60450,60490,60360,60420,21020
2010-1-4,14:30:00,60400,60710,60370,60580,55160
2010-1-4,15:00:00,60580,60650,60030,60050,52022
2010-1-5,10:00:00,60450,60490,59900,60190,111258
2010-1-5,11:00:00,60180,60440,60160,60360,38198
2010-1-5,11:30:00,60350,60450,60250,60330,21352
2010-1-5,14:30:00,60390,60640,60330,60500,63406
2010-1-5,15:00:00,60500,60670,60480,60590,32732
2010-1-6,10:00:00,60660,61350,60510,61230,106320
2010-1-6,11:00:00,61230,61690,61150,61610,57692
2010-1-6,11:30:00,61600,61650,61420,61550,30802
2010-1-6,14:30:00,61550,61890,61550,61820,69202
2010-1-6,15:00:00,61810,61940,61590,61650,50232
2010-1-7,10:00:00,62070,63450,62070,62690,134878
2010-1-7,11:00:00,62700,62770,60510,61560,204242
2010-1-7,11:30:00,61570,61850,61350,61530,56310
2010-1-7,14:30:00,61540,61940,61040,61150,99266
2010-1-7,15:00:00,61150,61330,60870,61190,87390
2010-1-8,10:00:00,61200,61450,60600,60870,148036
2010-1-8,11:00:00,60890,60890,59700,60000,133402
2010-1-8,11:30:00,60010,60510,59920,60230,57314
2010-1-8,14:30:00,60140,60860,59850,60640,125126
2010-1-8,15:00:00,60650,60890,60340,60700,61268
2010-1-11,10:00:00,61550,62520,61550,61870,148012
2010-1-11,11:00:00,61890,62140,61830,62020,38786
2010-1-11,11:30:00,62020,62120,61890,62050,25462
2010-1-11,14:30:00,61970,62090,61650,61730,48738
2010-1-11,15:00:00,61730,62280,61730,62200,49550
2010-1-12,10:00:00,61520,61750,61150,61240,104770
2010-1-12,11:00:00,61240,61430,61050,61310,46718
2010-1-12,11:30:00,61310,61650,61270,61550,34740
2010-1-12,14:30:00,61590,61850,61520,61610,48094
2010-1-12,15:00:00,61600,61800,61550,61690,31308
2010-1-13,10:00:00,59500,60430,58790,60410,153526
2010-1-13,11:00:00,60400,60470,60040,60180,69272
2010-1-13,11:30:00,60190,60320,60050,60110,28424
2010-1-13,14:30:00,59960,60210,59650,60080,76134
2010-1-13,15:00:00,60080,60080,59700,59800,46126
2010-1-14,10:00:00,61010,61230,60820,60980,69568
2010-1-14,11:00:00,60980,61020,60660,60700,34714
2010-1-14,11:30:00,60700,60860,60600,60790,21654
2010-1-14,14:30:00,60920,61010,60730,60760,30382
2010-1-14,15:00:00,60750,60850,60680,60730,22114
2010-1-15,10:00:00,60710,60960,60660,60740,45292
2010-1-15,11:00:00,60740,60840,60700,60790,15840
2010-1-15,11:30:00,60780,60840,60410,60570,24730
2010-1-15,14:30:00,60440,60510,60170,60290,44490
2010-1-15,15:00:00,60300,60620,60250,60540,24512
2010-1-18,10:00:00,60000,60480,60000,60370,63180
2010-1-18,11:00:00,60370,60830,60360,60770,44464
2010-1-18,11:30:00,60770,60920,60750,60830,26080
2010-1-18,14:30:00,60830,60980,60730,60890,38386
2010-1-18,15:00:00,60880,60970,60840,60950,27570
2010-1-19,10:00:00,61220,61760,61220,61570,99428
2010-1-19,11:00:00,61570,61580,61320,61410,32832
2010-1-19,11:30:00,61410,61450,61310,61380,23580
2010-1-19,14:30:00,61480,61700,61450,61650,53252
2010-1-19,15:00:00,61660,61820,61520,61800,40876
2010-1-20,10:00:00,62130,62230,61670,61680,86268
2010-1-20,11:00:00,61680,61680,61250,61520,73180
2010-1-20,11:30:00,61520,61750,61480,61530,33742
2010-1-20,14:30:00,61430,61450,61080,61190,65538
2010-1-20,15:00:00,61190,61280,60980,61000,44880
2010-1-21,10:00:00,60800,61090,60560,60870,127452
2010-1-21,11:00:00,60870,60950,60300,60480,73276
2010-1-21,11:30:00,60490,60630,60460,60580,34040
2010-1-21,14:30:00,60560,61160,60530,61120,74178
2010-1-21,15:00:00,61110,61230,60890,60970,42580
2010-1-22,10:00:00,59580,59970,59330,59530,133894
2010-1-22,11:00:00,59520,59740,59300,59380,70616
2010-1-22,11:30:00,59380,59510,59110,59190,44950
2010-1-22,14:30:00,58780,59660,58600,59510,129852
2010-1-22,15:00:00,59510,59560,59340,59360,56446
2010-1-25,10:00:00,59780,59850,59280,59480,129460
2010-1-25,11:00:00,59500,59660,59450,59530,35932
2010-1-25,11:30:00,59540,59890,59510,59810,37372
2010-1-25,14:30:00,59760,60060,59690,60000,65150
2010-1-25,15:00:00,60000,60010,59880,59920,45534
2010-1-26,10:00:00,60430,60450,60120,60210,80548
2010-1-26,11:00:00,60210,60250,59930,60000,64626
2010-1-26,11:30:00,60010,60010,59750,59840,38898
2010-1-26,14:30:00,59660,59770,59190,59340,108136
2010-1-26,15:00:00,59320,59450,59200,59210,58236
2010-1-27,10:00:00,59550,59730,59300,59620,107226
2010-1-27,11:00:00,59620,59750,59110,59500,76338
2010-1-27,11:30:00,59500,59800,59470,59800,36302
2010-1-27,14:30:00,59760,59780,59430,59570,71046
2010-1-27,15:00:00,59570,59700,59470,59530,41104
2010-1-28,10:00:00,57500,57920,57370,57590,164900
2010-1-28,11:00:00,57590,57780,57290,57690,133728
2010-1-28,11:30:00,57690,57770,57520,57720,39830
2010-1-28,14:30:00,57790,57980,57570,57670,85126
2010-1-28,15:00:00,57670,57680,57270,57490,87834
2010-1-29,10:00:00,56780,56880,56180,56320,179976
2010-1-29,11:00:00,56310,56630,56270,56430,75764
2010-1-29,11:30:00,56430,56500,56190,56330,41684
2010-1-29,14:30:00,56230,56270,55390,55440,139670
2010-1-29,15:00:00,55440,55830,55390,55570,90652
2010-2-1,10:00:00,55050,55280,53360,53880,266478
2010-2-1,11:00:00,53880,54010,53520,53700,85280
2010-2-1,11:30:00,53710,53840,53530,53640,38318
2010-2-1,14:30:00,53610,54430,53580,54320,134656
2010-2-1,15:00:00,54320,54560,54000,54470,84506
2010-2-2,10:00:00,55210,55480,54710,54930,195126
2010-2-2,11:00:00,54930,55150,54630,54760,72698
2010-2-2,11:30:00,54760,54970,54710,54810,31212
2010-2-2,14:30:00,54790,54790,54350,54400,87646
2010-2-2,15:00:00,54400,54430,54110,54300,70082
2010-2-3,10:00:00,55070,55630,54880,55000,174188
2010-2-3,11:00:00,54990,55180,54560,55140,87404
2010-2-3,11:30:00,55110,55520,55040,55470,78334
2010-2-3,14:30:00,55520,55780,55460,55680,100350
2010-2-3,15:00:00,55680,56000,55630,55920,70318
2010-2-4,10:00:00,53700,54000,53420,53820,177278
2010-2-4,11:00:00,53810,54430,53780,54410,71102
2010-2-4,11:30:00,54410,54460,54080,54190,47614
2010-2-4,14:30:00,54250,54290,53730,54000,100564
2010-2-4,15:00:00,54010,54040,53840,54010,46592
2010-2-5,10:00:00,52280,52330,51790,52040,148800
2010-2-5,11:00:00,52040,52070,51720,51850,52416
2010-2-5,11:30:00,51840,51980,51760,51800,26226
2010-2-5,14:30:00,51620,51760,51370,51700,93206
2010-2-5,15:00:00,51690,52080,51680,52000,71108
2010-2-8,10:00:00,52420,53280,52310,52750,124884
2010-2-8,11:00:00,52750,52800,52360,52450,47708
2010-2-8,11:30:00,52450,52560,52370,52500,27364
2010-2-8,14:30:00,52550,52710,52450,52530,49496
2010-2-8,15:00:00,52530,52620,52480,52550,34776
