44761, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2013-10-17,9:05:00,21190,21190,21070,21090,52974
2013-10-17,9:10:00,21090,21150,21080,21125,26744
2013-10-17,9:15:00,21125,21145,21100,21120,17624
2013-10-17,9:20:00,21120,21125,21045,21065,26302
2013-10-17,9:25:00,21065,21070,21020,21065,19764
2013-10-17,9:30:00,21065,21075,21020,21025,12364
2013-10-17,9:35:00,21030,21060,21010,21040,16454
2013-10-17,9:40:00,21040,21050,20915,20945,29890
2013-10-17,9:45:00,20945,20960,20895,20915,25900
2013-10-17,9:50:00,20915,20930,20880,20905,23344
2013-10-17,9:55:00,20905,20930,20885,20900,13494
2013-10-17,10:00:00,20900,20905,20860,20885,14538
2013-10-17,10:05:00,20880,20920,20870,20910,9242
2013-10-17,10:10:00,20910,20930,20905,20915,9246
2013-10-17,10:15:00,20915,20920,20880,20885,7718
2013-10-17,10:35:00,20885,20905,20840,20845,11626
2013-10-17,10:40:00,20850,20850,20740,20745,45712
2013-10-17,10:45:00,20745,20770,20685,20760,34840
2013-10-17,10:50:00,20765,20770,20730,20735,12060
2013-10-17,10:55:00,20740,20780,20735,20765,10746
2013-10-17,11:00:00,20770,20785,20745,20745,10238
2013-10-17,11:05:00,20750,20795,20740,20785,10660
2013-10-17,11:10:00,20785,20805,20775,20780,10074
2013-10-17,11:15:00,20780,20785,20755,20775,7490
2013-10-17,11:20:00,20780,20790,20750,20755,7476
2013-10-17,11:25:00,20755,20770,20740,20755,9042
2013-10-17,11:30:00,20755,20760,20715,20740,17216
2013-10-17,13:35:00,20690,20730,20660,20690,26780
2013-10-17,13:40:00,20690,20710,20650,20655,17024
2013-10-17,13:45:00,20660,20705,20655,20695,10584
2013-10-17,13:50:00,20695,20695,20670,20690,6458
2013-10-17,13:55:00,20685,20710,20655,20695,10898
2013-10-17,14:00:00,20695,20720,20675,20680,10960
2013-10-17,14:05:00,20675,20720,20670,20710,11656
2013-10-17,14:10:00,20710,20715,20665,20670,9498
2013-10-17,14:15:00,20670,20685,20665,20670,9446
2013-10-17,14:20:00,20665,20690,20645,20680,15946
2013-10-17,14:25:00,20685,20695,20655,20665,8904
2013-10-17,14:30:00,20665,20675,20620,20635,15064
2013-10-17,14:35:00,20635,20635,20575,20585,28158
2013-10-17,14:40:00,20585,20625,20545,20615,23462
2013-10-17,14:45:00,20610,20660,20605,20620,19098
2013-10-17,14:50:00,20620,20620,20520,20525,28554
2013-10-17,14:55:00,20525,20550,20475,20485,28392
2013-10-17,15:00:00,20490,20550,20425,20430,43488
2013-10-18,9:05:00,20485,20530,20440,20450,37466
2013-10-18,9:10:00,20450,20515,20430,20490,19062
2013-10-18,9:15:00,20495,20530,20475,20485,14132
2013-10-18,9:20:00,20485,20515,20445,20500,13992
2013-10-18,9:25:00,20500,20530,20480,20520,13686
2013-10-18,9:30:00,20520,20545,20490,20535,11680
2013-10-18,9:35:00,20535,20540,20490,20490,8372
2013-10-18,9:40:00,20490,20525,20465,20510,9868
2013-10-18,9:45:00,20510,20545,20500,20545,8484
2013-10-18,9:50:00,20545,20575,20540,20545,17304
