15200, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,9:30:00,20880,20975,20845,20865,125746
2009-11-18,10:00:00,20865,20875,20820,20845,55810
2009-11-18,10:30:00,20845,20915,20840,20905,31844
2009-11-18,11:00:00,20910,20955,20895,20925,69332
2009-11-18,11:30:00,20920,20945,20880,20905,44468
2009-11-18,14:00:00,20900,20940,20880,20925,46570
2009-11-18,14:30:00,20925,21070,20920,21065,110860
2009-11-18,15:00:00,21065,21445,21065,21400,248974
2009-11-19,9:30:00,21400,21530,21345,21495,198070
2009-11-19,10:00:00,21500,21500,21385,21410,76420
2009-11-19,10:30:00,21410,21445,21395,21440,24826
2009-11-19,11:00:00,21440,21650,21400,21530,145682
2009-11-19,11:30:00,21530,21585,21475,21565,68974
2009-11-19,14:00:00,21565,21795,21520,21780,121370
2009-11-19,14:30:00,21775,21955,21750,21820,139544
2009-11-19,15:00:00,21825,21845,21605,21635,149148
2009-11-20,9:30:00,21590,21780,21420,21455,180384
2009-11-20,10:00:00,21455,21490,21360,21450,131594
2009-11-20,10:30:00,21455,21495,21420,21445,35406
2009-11-20,11:00:00,21445,21570,21380,21530,116780
2009-11-20,11:30:00,21525,21630,21525,21560,116626
2009-11-20,14:00:00,21610,21645,21565,21580,92128
2009-11-20,14:30:00,21580,21595,21485,21525,84588
2009-11-20,15:00:00,21520,21540,21455,21510,85676
2009-11-23,9:30:00,21625,21770,21625,21720,119506
2009-11-23,10:00:00,21725,21850,21665,21805,93466
2009-11-23,10:30:00,21805,21835,21765,21815,38710
2009-11-23,11:00:00,21815,21925,21795,21905,85838
2009-11-23,11:30:00,21905,21945,21860,21915,61432
2009-11-23,14:00:00,21915,21975,21895,21945,72768
2009-11-23,14:30:00,21945,21995,21925,21950,55962
2009-11-23,15:00:00,21950,21970,21890,21905,76868
2009-11-24,9:30:00,21750,21780,21575,21675,136950
2009-11-24,10:00:00,21675,21890,21665,21880,92146
2009-11-24,10:30:00,21880,21995,21875,21945,78936
2009-11-24,11:00:00,21950,22100,21930,22080,162164
2009-11-24,11:30:00,22080,22130,21890,21900,130566
2009-11-24,14:00:00,21965,21995,21720,21785,148754
2009-11-24,14:30:00,21790,21840,21670,21675,93320
2009-11-24,15:00:00,21680,21705,21440,21635,177374
2009-11-25,9:30:00,21815,21960,21750,21925,198276
2009-11-25,10:00:00,21925,22025,21825,21915,157860
2009-11-25,10:30:00,21910,21945,21885,21890,49832
2009-11-25,11:00:00,21905,21925,21770,21795,125232
2009-11-25,11:30:00,21795,21975,21740,21935,172964
2009-11-25,14:00:00,22050,22100,21975,22005,153048
2009-11-25,14:30:00,22010,22090,21915,21920,116504
2009-11-25,15:00:00,21920,22170,21915,22160,198834
2009-11-26,9:30:00,22250,22345,22225,22310,174866
2009-11-26,10:00:00,22310,22415,22285,22385,123290
2009-11-26,10:30:00,22385,22390,22175,22230,99876
2009-11-26,11:00:00,22220,22260,22070,22140,119832
2009-11-26,11:30:00,22140,22190,22070,22105,86246
2009-11-26,14:00:00,22035,22045,21870,21970,138228
2009-11-26,14:30:00,21970,22035,21930,22035,72392
2009-11-26,15:00:00,22025,22100,21950,22060,111888
2009-11-27,9:30:00,21795,21830,21560,21625,179336
2009-11-27,10:00:00,21625,21760,21610,21725,91776
2009-11-27,10:30:00,21720,21725,21630,21690,35312
2009-11-27,11:00:00,21695,21800,21630,21770,89292
2009-11-27,11:30:00,21770,21830,21705,21720,85508
2009-11-27,14:00:00,21600,21600,21110,21235,157942
2009-11-27,14:30:00,21240,21295,21145,21250,95276
2009-11-27,15:00:00,21255,21270,21150,21230,93832
2009-11-30,9:30:00,21600,21980,21600,21860,163148
2009-11-30,10:00:00,21860,21900,21755,21760,92318
2009-11-30,10:30:00,21760,21830,21755,21830,31364
2009-11-30,11:00:00,21810,21860,21755,21790,65980
2009-11-30,11:30:00,21795,21830,21765,21805,52538
2009-11-30,14:00:00,21730,21755,21640,21660,87672
2009-11-30,14:30:00,21655,21655,21560,21605,74158
2009-11-30,15:00:00,21605,21700,21605,21640,71766
2009-12-1,9:30:00,21800,21845,21530,21550,152952
2009-12-1,10:00:00,21550,21625,21430,21610,107358
2009-12-1,10:30:00,21610,21645,21570,21630,57780
2009-12-1,11:00:00,21645,21745,21610,21690,98382
2009-12-1,11:30:00,21685,21725,21600,21665,92884
2009-12-1,14:00:00,21630,21895,21615,21865,169032
2009-12-1,14:30:00,21865,21905,21830,21875,97878
2009-12-1,15:00:00,21880,21885,21725,21735,153510
2009-12-2,9:30:00,22100,22145,21940,22010,170104
2009-12-2,10:00:00,22020,22060,21880,21890,108292
2009-12-2,10:30:00,21885,21970,21880,21950,42262
2009-12-2,11:00:00,21965,21990,21920,21985,57200
2009-12-2,11:30:00,21980,22030,21950,21985,65488
2009-12-2,14:00:00,22025,22160,21990,22065,124152
2009-12-2,14:30:00,22065,22110,21960,22000,66506
2009-12-2,15:00:00,22000,22065,21960,22025,92792
2009-12-3,9:30:00,22175,22200,22090,22160,131092
2009-12-3,10:00:00,22155,22180,22115,22155,65196
2009-12-3,10:30:00,22155,22290,22135,22260,72386
2009-12-3,11:00:00,22260,22355,22250,22335,97700
2009-12-3,11:30:00,22330,22425,22315,22365,89968
2009-12-3,14:00:00,22345,22400,22290,22330,95834
2009-12-3,14:30:00,22330,22335,22150,22260,97110
2009-12-3,15:00:00,22260,22330,22260,22330,90638
2009-12-4,9:30:00,22170,22355,22150,22330,140282
2009-12-4,10:00:00,22325,22470,22300,22430,110334
2009-12-4,10:30:00,22430,22440,22390,22430,35930
2009-12-4,11:00:00,22440,22580,22430,22550,115936
2009-12-4,11:30:00,22555,22615,22450,22470,119226
2009-12-4,14:00:00,22415,22505,22310,22505,109120
2009-12-4,14:30:00,22500,22530,22460,22495,63762
2009-12-4,15:00:00,22490,22645,22485,22635,116992
2009-12-8,9:30:00,22330,22360,22070,22210,149098
2009-12-8,10:00:00,22210,22275,22165,22220,83604
2009-12-8,10:30:00,22220,22235,22145,22175,40656
2009-12-8,11:00:00,22150,22230,22095,22165,69300
2009-12-8,11:30:00,22170,22240,22170,22190,54174
2009-12-8,14:00:00,22150,22290,22140,22250,70292
2009-12-8,14:30:00,22250,22360,22225,22305,54094
2009-12-8,15:00:00,22305,22325,22215,22230,65280
2009-12-9,9:30:00,21850,21850,21675,21775,123730
2009-12-9,10:00:00,21770,21845,21760,21810,71968
2009-12-9,10:30:00,21805,21840,21795,21825,17780
2009-12-9,11:00:00,21830,21960,21810,21945,72736
2009-12-9,11:30:00,21945,21955,21850,21885,55812
2009-12-9,14:00:00,21860,21960,21860,21900,67468
2009-12-9,14:30:00,21900,21945,21755,21770,62056
2009-12-9,15:00:00,21765,21830,21700,21720,70886
2009-12-10,9:30:00,21700,21775,21530,21640,146412
2009-12-10,10:00:00,21640,21690,21605,21635,63644
2009-12-10,10:30:00,21635,21765,21620,21680,61224
2009-12-10,11:00:00,21685,21700,21440,21485,115696
2009-12-10,11:30:00,21490,21530,21345,21375,109082
2009-12-10,14:00:00,21350,21355,21185,21320,117300
2009-12-10,14:30:00,21325,21385,21305,21325,53050
2009-12-10,15:00:00,21325,21530,21315,21515,93208
2009-12-11,9:30:00,21530,21745,21510,21670,144856
2009-12-11,10:00:00,21670,21685,21590,21665,74126
2009-12-11,10:30:00,21660,21690,21630,21670,25684
2009-12-11,11:00:00,21670,21715,21585,21625,61574
2009-12-11,11:30:00,21620,21645,21570,21605,46146
2009-12-11,14:00:00,21650,21710,21620,21705,64858
2009-12-11,14:30:00,21705,21785,21690,21720,57558
2009-12-11,15:00:00,21720,21735,21645,21660,61742
2009-12-14,9:30:00,21580,21650,21355,21385,108814
2009-12-14,10:00:00,21380,21515,21340,21480,70824
2009-12-14,10:30:00,21480,21500,21435,21440,22038
2009-12-14,11:00:00,21455,21495,21380,21470,55014
2009-12-14,11:30:00,21470,21485,21290,21380,79328
2009-12-14,14:00:00,21485,21585,21440,21575,82408
2009-12-14,14:30:00,21580,21735,21560,21700,76726
2009-12-14,15:00:00,21700,21740,21665,21680,70668
2009-12-15,9:30:00,21850,21880,21740,21775,90512
2009-12-15,10:00:00,21765,21800,21710,21765,52052
2009-12-15,10:30:00,21760,21780,21720,21760,24438
2009-12-15,11:00:00,21745,21795,21685,21780,48230
2009-12-15,11:30:00,21780,21800,21735,21765,32654
2009-12-15,14:00:00,21750,21755,21610,21660,76064
2009-12-15,14:30:00,21660,21720,21645,21710,31102
2009-12-15,15:00:00,21710,21730,21620,21720,59716
2009-12-16,9:30:00,21850,22185,21780,22120,153136
2009-12-16,10:00:00,22115,22230,22100,22195,80636
2009-12-16,10:30:00,22195,22270,22190,22225,31114
2009-12-16,11:00:00,22230,22275,22185,22240,54558
2009-12-16,11:30:00,22240,22440,22225,22420,110718
2009-12-16,14:00:00,22410,22570,22375,22565,100062
2009-12-16,14:30:00,22565,22780,22565,22620,120980
2009-12-16,15:00:00,22620,22765,22565,22740,135184
2009-12-17,9:30:00,23170,23280,23070,23130,153344
2009-12-17,10:00:00,23130,23155,22955,22970,80490
2009-12-17,10:30:00,22965,22995,22910,22955,41802
2009-12-17,11:00:00,22945,23015,22830,22850,99280
2009-12-17,11:30:00,22855,22900,22730,22860,81618
2009-12-17,14:00:00,22960,22985,22855,22980,89310
2009-12-17,14:30:00,22985,23010,22905,22945,44780
2009-12-17,15:00:00,22945,22970,22880,22960,72136
2009-12-18,9:30:00,22610,23130,22600,23050,199220
2009-12-18,10:00:00,23040,23195,23025,23160,143650
2009-12-18,10:30:00,23160,23300,23075,23245,70738
2009-12-18,11:00:00,23240,23325,23120,23135,164636
2009-12-18,11:30:00,23140,23150,22860,23065,187398
