9284, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,10:00:00,20880,20975,20820,20845,181556
2009-11-18,11:00:00,20845,20955,20840,20925,101176
2009-11-18,11:30:00,20920,20945,20880,20905,44468
2009-11-18,14:30:00,20900,21070,20880,21065,157430
2009-11-18,15:00:00,21065,21445,21065,21400,248974
2009-11-19,10:00:00,21400,21530,21345,21410,274490
2009-11-19,11:00:00,21410,21650,21395,21530,170508
2009-11-19,11:30:00,21530,21585,21475,21565,68974
2009-11-19,14:30:00,21565,21955,21520,21820,260914
2009-11-19,15:00:00,21825,21845,21605,21635,149148
2009-11-20,10:00:00,21590,21780,21360,21450,311978
2009-11-20,11:00:00,21455,21570,21380,21530,152186
2009-11-20,11:30:00,21525,21630,21525,21560,116626
2009-11-20,14:30:00,21610,21645,21485,21525,176716
2009-11-20,15:00:00,21520,21540,21455,21510,85676
2009-11-23,10:00:00,21625,21850,21625,21805,212972
2009-11-23,11:00:00,21805,21925,21765,21905,124548
2009-11-23,11:30:00,21905,21945,21860,21915,61432
2009-11-23,14:30:00,21915,21995,21895,21950,128730
2009-11-23,15:00:00,21950,21970,21890,21905,76868
2009-11-24,10:00:00,21750,21890,21575,21880,229096
2009-11-24,11:00:00,21880,22100,21875,22080,241100
2009-11-24,11:30:00,22080,22130,21890,21900,130566
2009-11-24,14:30:00,21965,21995,21670,21675,242074
2009-11-24,15:00:00,21680,21705,21440,21635,177374
2009-11-25,10:00:00,21815,22025,21750,21915,356136
2009-11-25,11:00:00,21910,21945,21770,21795,175064
2009-11-25,11:30:00,21795,21975,21740,21935,172964
2009-11-25,14:30:00,22050,22100,21915,21920,269552
2009-11-25,15:00:00,21920,22170,21915,22160,198834
2009-11-26,10:00:00,22250,22415,22225,22385,298156
2009-11-26,11:00:00,22385,22390,22070,22140,219708
2009-11-26,11:30:00,22140,22190,22070,22105,86246
2009-11-26,14:30:00,22035,22045,21870,22035,210620
2009-11-26,15:00:00,22025,22100,21950,22060,111888
2009-11-27,10:00:00,21795,21830,21560,21725,271112
2009-11-27,11:00:00,21720,21800,21630,21770,124604
2009-11-27,11:30:00,21770,21830,21705,21720,85508
2009-11-27,14:30:00,21600,21600,21110,21250,253218
2009-11-27,15:00:00,21255,21270,21150,21230,93832
2009-11-30,10:00:00,21600,21980,21600,21760,255466
2009-11-30,11:00:00,21760,21860,21755,21790,97344
2009-11-30,11:30:00,21795,21830,21765,21805,52538
2009-11-30,14:30:00,21730,21755,21560,21605,161830
2009-11-30,15:00:00,21605,21700,21605,21640,71766
2009-12-1,10:00:00,21800,21845,21430,21610,260310
2009-12-1,11:00:00,21610,21745,21570,21690,156162
2009-12-1,11:30:00,21685,21725,21600,21665,92884
2009-12-1,14:30:00,21630,21905,21615,21875,266910
2009-12-1,15:00:00,21880,21885,21725,21735,153510
2009-12-2,10:00:00,22100,22145,21880,21890,278396
2009-12-2,11:00:00,21885,21990,21880,21985,99462
2009-12-2,11:30:00,21980,22030,21950,21985,65488
2009-12-2,14:30:00,22025,22160,21960,22000,190658
2009-12-2,15:00:00,22000,22065,21960,22025,92792
2009-12-3,10:00:00,22175,22200,22090,22155,196288
2009-12-3,11:00:00,22155,22355,22135,22335,170086
2009-12-3,11:30:00,22330,22425,22315,22365,89968
2009-12-3,14:30:00,22345,22400,22150,22260,192944
2009-12-3,15:00:00,22260,22330,22260,22330,90638
2009-12-4,10:00:00,22170,22470,22150,22430,250616
2009-12-4,11:00:00,22430,22580,22390,22550,151866
2009-12-4,11:30:00,22555,22615,22450,22470,119226
2009-12-4,14:30:00,22415,22530,22310,22495,172882
2009-12-4,15:00:00,22490,22645,22485,22635,116992
2009-12-8,10:00:00,22330,22360,22070,22220,232702
2009-12-8,11:00:00,22220,22235,22095,22165,109956
2009-12-8,11:30:00,22170,22240,22170,22190,54174
2009-12-8,14:30:00,22150,22360,22140,22305,124386
2009-12-8,15:00:00,22305,22325,22215,22230,65280
2009-12-9,10:00:00,21850,21850,21675,21810,195698
2009-12-9,11:00:00,21805,21960,21795,21945,90516
2009-12-9,11:30:00,21945,21955,21850,21885,55812
2009-12-9,14:30:00,21860,21960,21755,21770,129524
2009-12-9,15:00:00,21765,21830,21700,21720,70886
2009-12-10,10:00:00,21700,21775,21530,21635,210056
2009-12-10,11:00:00,21635,21765,21440,21485,176920
2009-12-10,11:30:00,21490,21530,21345,21375,109082
2009-12-10,14:30:00,21350,21385,21185,21325,170350
2009-12-10,15:00:00,21325,21530,21315,21515,93208
2009-12-11,10:00:00,21530,21745,21510,21665,218982
2009-12-11,11:00:00,21660,21715,21585,21625,87258
2009-12-11,11:30:00,21620,21645,21570,21605,46146
2009-12-11,14:30:00,21650,21785,21620,21720,122416
2009-12-11,15:00:00,21720,21735,21645,21660,61742
2009-12-14,10:00:00,21580,21650,21340,21480,179638
2009-12-14,11:00:00,21480,21500,21380,21470,77052
2009-12-14,11:30:00,21470,21485,21290,21380,79328
2009-12-14,14:30:00,21485,21735,21440,21700,159134
2009-12-14,15:00:00,21700,21740,21665,21680,70668
2009-12-15,10:00:00,21850,21880,21710,21765,142564
2009-12-15,11:00:00,21760,21795,21685,21780,72668
2009-12-15,11:30:00,21780,21800,21735,21765,32654
2009-12-15,14:30:00,21750,21755,21610,21710,107166
2009-12-15,15:00:00,21710,21730,21620,21720,59716
2009-12-16,10:00:00,21850,22230,21780,22195,233772
2009-12-16,11:00:00,22195,22275,22185,22240,85672
2009-12-16,11:30:00,22240,22440,22225,22420,110718
2009-12-16,14:30:00,22410,22780,22375,22620,221042
2009-12-16,15:00:00,22620,22765,22565,22740,135184
2009-12-17,10:00:00,23170,23280,22955,22970,233834
2009-12-17,11:00:00,22965,23015,22830,22850,141082
2009-12-17,11:30:00,22855,22900,22730,22860,81618
2009-12-17,14:30:00,22960,23010,22855,22945,134090
2009-12-17,15:00:00,22945,22970,22880,22960,72136
2009-12-18,10:00:00,22610,23195,22600,23160,342870
2009-12-18,11:00:00,23160,23325,23075,23135,235374
2009-12-18,11:30:00,23140,23150,22860,23065,187398
2009-12-18,14:30:00,23065,23235,23060,23140,213432
2009-12-18,15:00:00,23140,23330,23105,23325,127328
2009-12-21,10:00:00,23390,23460,23125,23175,236796
2009-12-21,11:00:00,23175,23290,23025,23245,181154
2009-12-21,11:30:00,23250,23300,23190,23300,74702
2009-12-21,14:30:00,23230,23345,23170,23240,142316
2009-12-21,15:00:00,23240,23270,23130,23140,85416
