step,test_acc
400,0.973858173077
800,0.983573717949
1200,0.988481570513
1600,0.988782051282
2000,0.99078525641
2400,0.990584935897
3200,0.989783653846
3600,0.991887019231
4000,0.9921875
4400,0.992487980769
4800,0.991686698718
5200,0.992588141026
5600,0.992588141026
6000,0.991987179487
6400,0.990885416667
